Type,Group,ProjectName,SampleDate,ExetainerLabel,CollectionTemp,RunDate,Index,Time,28,32,40,99,N2/Ar,O2/Ar,Notes
Standard,1,NA,NA,STD6.53,6.53,8/14/2018,43197,10:10:09 AM,7.42E-09,3.77E-09,1.94E-10,4.60E-07,38.21915,19.4407,"Barpress initial 977.2hpa, final 974.5 hpa"
Standard,1,NA,NA,STD6.53,6.53,8/14/2018,43270,10:11:57 AM,7.38E-09,3.76E-09,1.94E-10,4.57E-07,38.13564,19.43301,
Standard,1,NA,NA,STD6.53,6.53,8/14/2018,43304,10:12:47 AM,7.40E-09,3.77E-09,1.94E-10,4.57E-07,38.14002,19.43354,
Standard,1,NA,NA,STD7.53,7.53,8/14/2018,43476,10:17:00 AM,7.35E-09,3.68E-09,1.89E-10,4.53E-07,38.87491,19.48923,
Standard,1,NA,NA,STD7.53,7.53,8/14/2018,43525,10:18:12 AM,7.34E-09,3.68E-09,1.89E-10,4.55E-07,38.85247,19.49976,
Standard,1,NA,NA,STD7.53,7.53,8/14/2018,43668,10:21:42 AM,7.33E-09,3.68E-09,1.89E-10,4.53E-07,38.78284,19.48848,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR1_Rep1,7.687,8/14/2018,43801,10:24:58 AM,7.31E-09,4.13E-09,1.93E-10,4.70E-07,37.88415,21.43316,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR1_Rep2,7.687,8/14/2018,44001,10:29:52 AM,7.46E-09,4.02E-09,1.96E-10,4.72E-07,38.15046,20.57035,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR1_Rep3,7.687,8/14/2018,44173,10:34:05 AM,6.90E-09,4.02E-09,1.87E-10,4.54E-07,36.95745,21.565,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR2_Rep1,7.962,8/14/2018,44311,10:37:28 AM,7.67E-09,4.36E-09,1.98E-10,4.90E-07,38.69225,22.00753,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR2_Rep2,7.962,8/14/2018,44513,10:42:25 AM,6.96E-09,4.14E-09,1.87E-10,4.60E-07,37.11432,22.11151,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR2_Rep3,7.962,8/14/2018,44725,10:47:37 AM,7.26E-09,4.23E-09,1.92E-10,4.73E-07,37.83333,22.04813,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR3_Rep1,8.414,8/14/2018,44913,10:52:14 AM,7.00E-09,4.19E-09,1.88E-10,4.63E-07,37.19534,22.27,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR3_Rep2,8.414,8/14/2018,45102,10:56:52 AM,6.91E-09,4.03E-09,1.85E-10,4.57E-07,37.26866,21.72229,"Cap at an angle, no visible bubbles but seal might have been compromised"
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR3_Rep3,8.414,8/14/2018,45277,11:01:09 AM,7.43E-09,4.33E-09,1.94E-10,4.84E-07,38.24536,22.26703,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR4_Rep1,8.928,8/14/2018,45440,11:05:09 AM,7.47E-09,4.39E-09,1.95E-10,4.88E-07,38.24099,22.4929,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR4_Rep2,8.928,8/14/2018,45585,11:08:42 AM,6.92E-09,4.18E-09,1.87E-10,4.63E-07,37.01014,22.32241,
Sample,1,KAWN_24HR,4/9/2018,8thSt_9Apr2018_HR4_Rep3,8.928,8/14/2018,45763,11:13:04 AM,6.71E-09,4.08E-09,1.84E-10,4.53E-07,36.54628,22.21444,
Standard,2,NA,NA,STD6.53,6.53,8/14/2018,46198,11:23:44 AM,7.59E-09,3.84E-09,1.96E-10,4.72E-07,38.69547,19.55334,
Standard,2,NA,NA,STD6.53,6.53,8/14/2018,46368,11:27:54 AM,7.56E-09,3.82E-09,1.96E-10,4.71E-07,38.62936,19.51994,
