Type,Group,CollectionTemp,RunDate,Label,Index,Time,28,32,40,N2/Ar,O2/Ar,Notes
Standard,1,24.9,2/1/18,NA,3029,10:32:53 AM,1.20E-08,5.75E-09,2.98E-10,40.27659,19.29615,Barometric pressure =  977.2 hPa
Standard,1,24.9,2/1/18,NA,3079,10:34:07 AM,1.20E-08,5.75E-09,2.98E-10,40.28539,19.29992,
Standard,1,24.9,2/1/18,NA,3128,10:35:19 AM,1.20E-08,5.75E-09,2.98E-10,40.2958,19.30377,
Standard,1,26.3,2/1/18,NA,3212,10:37:22 AM,1.19E-08,5.66E-09,2.93E-10,40.42873,19.3106,
Standard,1,26.3,2/1/18,NA,3261,10:38:35 AM,1.18E-08,5.66E-09,2.93E-10,40.41858,19.30813,
Standard,1,26.3,2/1/18,NA,3315,10:39:54 AM,1.19E-08,5.66E-09,2.93E-10,40.4327,19.30843,
Sample,1,25.1,2/1/18,Sample1,3455,10:43:20 AM,1.19E-08,6.72E-09,2.94E-10,40.46266,22.82152,
Sample,1,25.1,2/1/18,Sample2,3554,10:45:46 AM,1.19E-08,6.71E-09,2.93E-10,40.47978,22.88816,
Sample,1,25.1,2/1/18,Sample3,3620,10:47:23 AM,1.18E-08,6.70E-09,2.92E-10,40.47607,22.91647,
Sample,1,26.1,2/1/18,Sample4,3701,10:49:22 AM,1.13E-08,6.48E-09,2.85E-10,39.79033,22.77329,
Sample,1,26.1,2/1/18,Sample5,3792,10:51:36 AM,1.14E-08,6.53E-09,2.85E-10,39.87121,22.93365,
Sample,1,26.1,2/1/18,Sample6,3913,10:54:34 AM,1.17E-08,6.62E-09,2.89E-10,40.33485,22.85876,
Sample,1,25.3,2/1/18,Sample7,3975,10:56:05 AM,1.16E-08,6.49E-09,2.87E-10,40.44159,22.58631,
Sample,1,25.3,2/1/18,Sample8,4043,10:57:45 AM,1.17E-08,6.61E-09,2.89E-10,40.40981,22.88878,
Sample,1,25.3,2/1/18,Sample9,4121,10:59:40 AM,1.16E-08,6.68E-09,2.88E-10,40.284,23.18026,
Sample,1,24.9,2/1/18,Sample10,4233,11:02:25 AM,1.18E-08,5.56E-09,2.88E-10,40.86557,19.27496,
Sample,1,24.9,2/1/18,Sample11,4327,11:04:43 AM,1.18E-08,5.54E-09,2.89E-10,40.90063,19.20336,
Sample,1,24.9,2/1/18,Sample12,4422,11:07:03 AM,1.19E-08,5.56E-09,2.90E-10,40.87803,19.17829,
Standard,2,24.9,2/1/18,NA,4654,11:12:45 AM,1.19E-08,5.69E-09,2.94E-10,40.38071,19.34272,
Standard,2,24.9,2/1/18,NA,4742,11:14:54 AM,1.19E-08,5.69E-09,2.94E-10,40.37351,19.34234,
Standard,2,24.9,2/1/18,NA,4779,11:15:48 AM,1.19E-08,5.69E-09,2.94E-10,40.38127,19.34579,
Standard,2,26.3,2/1/18,NA,4866,11:17:57 AM,1.17E-08,5.60E-09,2.90E-10,40.4825,19.34875,
Standard,2,26.3,2/1/18,NA,4962,11:20:18 AM,1.17E-08,5.60E-09,2.89E-10,40.48784,19.34937,
Standard,2,26.3,2/1/18,NA,5007,11:21:24 AM,1.17E-08,5.59E-09,2.89E-10,40.48557,19.34862,
Sample,2,26.3,2/1/18,Sample13,4516,11:09:21 AM,1.17E-08,5.47E-09,2.88E-10,40.80347,19.00344,
Sample,2,26.3,2/1/18,Sample14,5089,11:23:25 AM,1.18E-08,5.58E-09,2.90E-10,40.85389,19.24914,
Sample,2,26.3,2/1/18,Sample15,5179,11:25:37 AM,1.18E-08,5.59E-09,2.90E-10,40.82519,19.28765,
Sample,2,25.7,2/1/18,Sample16,5270,11:27:51 AM,1.18E-08,5.47E-09,2.88E-10,40.87712,18.98291,
Sample,2,25.7,2/1/18,Sample17,5370,11:30:18 AM,1.18E-08,5.53E-09,2.88E-10,40.82986,19.20466,
Sample,2,25.7,2/1/18,Sample18,5475,11:32:53 AM,1.18E-08,5.56E-09,2.88E-10,40.8261,19.27355,
Sample,2,25.9,2/1/18,Sample19,5668,11:37:37 AM,1.16E-08,7.30E-09,2.87E-10,40.29644,25.4037,
Sample,2,25.9,2/1/18,Sample20,5741,11:39:24 AM,1.15E-08,7.33E-09,2.87E-10,40.2426,25.56124,
Sample,2,25.9,2/1/18,Sample21,5972,11:45:04 AM,1.16E-08,7.32E-09,2.87E-10,40.36147,25.51976,
Sample,2,25.2,2/1/18,Sample22,6079,11:47:42 AM,1.13E-08,7.59E-09,2.83E-10,40.0357,26.81639,
Sample,2,25.2,2/1/18,Sample23,6192,11:50:28 AM,1.14E-08,7.66E-09,2.84E-10,40.15149,26.9508,
Sample,2,25.2,2/1/18,Sample24,6335,11:53:58 AM,1.12E-08,7.61E-09,2.80E-10,39.7796,27.15118,
Standard,3,24.9,2/1/18,NA,6475,11:57:24 AM,1.18E-08,5.71E-09,2.91E-10,40.46484,19.63069,
Standard,3,24.9,2/1/18,NA,6542,11:59:03 AM,1.18E-08,5.69E-09,2.91E-10,40.46932,19.53179,
Standard,3,24.9,2/1/18,NA,6599,12:00:27 PM,1.18E-08,5.68E-09,2.91E-10,40.49352,19.50314,
Standard,3,26.3,2/1/18,NA,6723,12:03:29 PM,1.16E-08,5.59E-09,2.87E-10,40.5515,19.45527,
Standard,3,26.3,2/1/18,NA,6825,12:05:59 PM,1.16E-08,5.58E-09,2.87E-10,40.54939,19.42995,
Standard,3,26.3,2/1/18,NA,6870,12:07:06 PM,1.16E-08,5.58E-09,2.87E-10,40.55973,19.42807,
