Type,Group,Label,CollectionTemp,RunDate,Index,Time,28,32,40,99,N2/Ar,O2/Ar,Notes
Standard,1,NA,24.9,2/1/2018,3029,10:32:53 AM,1.20E-08,5.75E-09,2.98E-10,5.51E-07,40.27659,19.29615,Barometric pressure =  977.2 hPa
Standard,1,NA,24.9,2/1/2018,3079,10:34:07 AM,1.20E-08,5.75E-09,2.98E-10,5.49E-07,40.28539,19.29992,
Standard,1,NA,24.9,2/1/2018,3128,10:35:19 AM,1.20E-08,5.75E-09,2.98E-10,5.49E-07,40.2958,19.30377,
Standard,1,NA,26.3,2/1/2018,3212,10:37:22 AM,1.19E-08,5.66E-09,2.93E-10,5.41E-07,40.42873,19.3106,
Standard,1,NA,26.3,2/1/2018,3261,10:38:35 AM,1.18E-08,5.66E-09,2.93E-10,5.41E-07,40.41858,19.30813,
Standard,1,NA,26.3,2/1/2018,3315,10:39:54 AM,1.19E-08,5.66E-09,2.93E-10,5.40E-07,40.4327,19.30843,
Sample,1,ProjectA_01-01-2018_Sample1,25.1,2/1/2018,3455,10:43:20 AM,1.19E-08,6.72E-09,2.94E-10,5.73E-07,40.46266,22.82152,
Sample,1,ProjectA_01-01-2018_Sample2,25.1,2/1/2018,3554,10:45:46 AM,1.19E-08,6.71E-09,2.93E-10,5.75E-07,40.47978,22.88816,
Sample,1,ProjectA_01-01-2018_Sample3,25.1,2/1/2018,3620,10:47:23 AM,1.18E-08,6.70E-09,2.92E-10,5.72E-07,40.47607,22.91647,
Sample,1,ProjectA_01-01-2018_Sample4,26.1,2/1/2018,3701,10:49:22 AM,1.13E-08,6.48E-09,2.85E-10,5.54E-07,39.79033,22.77329,
Sample,1,ProjectA_01-01-2018_Sample5,26.1,2/1/2018,3792,10:51:36 AM,1.14E-08,6.53E-09,2.85E-10,5.56E-07,39.87121,22.93365,
Sample,1,ProjectA_01-01-2018_Sample6,26.1,2/1/2018,3913,10:54:34 AM,1.17E-08,6.62E-09,2.89E-10,5.66E-07,40.33485,22.85876,
Sample,1,ProjectA_01-01-2018_Sample7,25.3,2/1/2018,3975,10:56:05 AM,1.16E-08,6.49E-09,2.87E-10,5.60E-07,40.44159,22.58631,
Sample,1,ProjectA_01-01-2018_Sample8,25.3,2/1/2018,4043,10:57:45 AM,1.17E-08,6.61E-09,2.89E-10,5.67E-07,40.40981,22.88878,
Sample,1,ProjectA_01-01-2018_Sample9,25.3,2/1/2018,4121,10:59:40 AM,1.16E-08,6.68E-09,2.88E-10,5.67E-07,40.284,23.18026,
Sample,1,ProjectA_01-01-2018_Sample10,24.9,2/1/2018,4233,11:02:25 AM,1.18E-08,5.56E-09,2.88E-10,5.37E-07,40.86557,19.27496,
Sample,1,ProjectA_01-01-2018_Sample11,24.9,2/1/2018,4327,11:04:43 AM,1.18E-08,5.54E-09,2.89E-10,5.36E-07,40.90063,19.20336,
Sample,1,ProjectA_01-01-2018_Sample12,24.9,2/1/2018,4422,11:07:03 AM,1.19E-08,5.56E-09,2.90E-10,5.38E-07,40.87803,19.17829,
Standard,2,NA,24.9,2/1/2018,4654,11:12:45 AM,1.19E-08,5.69E-09,2.94E-10,5.42E-07,40.38071,19.34272,
Standard,2,NA,24.9,2/1/2018,4742,11:14:54 AM,1.19E-08,5.69E-09,2.94E-10,5.41E-07,40.37351,19.34234,
Standard,2,NA,24.9,2/1/2018,4779,11:15:48 AM,1.19E-08,5.69E-09,2.94E-10,5.42E-07,40.38127,19.34579,
Standard,2,NA,26.3,2/1/2018,4866,11:17:57 AM,1.17E-08,5.60E-09,2.90E-10,5.34E-07,40.4825,19.34875,
Standard,2,NA,26.3,2/1/2018,4962,11:20:18 AM,1.17E-08,5.60E-09,2.89E-10,5.34E-07,40.48784,19.34937,
Standard,2,NA,26.3,2/1/2018,5007,11:21:24 AM,1.17E-08,5.59E-09,2.89E-10,5.32E-07,40.48557,19.34862,
Sample,2,ProjectA_01-01-2018_Sample12,26.3,2/1/2018,4516,11:09:21 AM,1.17E-08,5.47E-09,2.88E-10,5.32E-07,40.80347,19.00344,
Sample,2,ProjectA_01-01-2018_Sample13,26.3,2/1/2018,5089,11:23:25 AM,1.18E-08,5.58E-09,2.90E-10,5.37E-07,40.85389,19.24914,
Sample,2,ProjectA_01-01-2018_Sample14,26.3,2/1/2018,5179,11:25:37 AM,1.18E-08,5.59E-09,2.90E-10,5.37E-07,40.82519,19.28765,
Sample,2,ProjectA_01-01-2018_Sample15,25.7,2/1/2018,5270,11:27:51 AM,1.18E-08,5.47E-09,2.88E-10,5.31E-07,40.87712,18.98291,
Sample,2,ProjectA_01-01-2018_Sample16,25.7,2/1/2018,5370,11:30:18 AM,1.18E-08,5.53E-09,2.88E-10,5.33E-07,40.82986,19.20466,
Sample,2,ProjectA_01-01-2018_Sample17,25.7,2/1/2018,5475,11:32:53 AM,1.18E-08,5.56E-09,2.88E-10,5.34E-07,40.8261,19.27355,
